query_id,query_text,risk_category,intent_category,funnel_stage,length_category
726,schedule fire evacuation plan consultation,YMYL,Transactional,BOFU (Decision),Long-tail
727,healthcare reform vs student loan forgiveness,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
728,find covid 19 near me,YMYL,Transactional,BOFU (Decision),Long-tail
729,who student loan forgiveness factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
730,symptoms of trademark registration,YMYL,Informational,TOFU (Awareness),Long-tail
731,who eviction factsheet,YMYL,Navigational,MOFU (Consideration),Mid-tail
732,treatment options for index fund,YMYL,Informational,TOFU (Awareness),Long-tail
733,estate planning pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
734,ama food poisoning treatment recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
735,find carbon monoxide leak response near me,YMYL,Transactional,BOFU (Decision),Long-tail
736,irs climate change policy,YMYL,Navigational,MOFU (Consideration),Long-tail
737,net neutrality rules vs tax reform bill,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
738,uscis trademark registration application,YMYL,Navigational,MOFU (Consideration),Long-tail
739,is tax reform bill worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
740,apply for heart attack,YMYL,Transactional,BOFU (Decision),Long-tail
741,irs earthquake preparedness,YMYL,Navigational,MOFU (Consideration),Mid-tail
742,asthma vs hypertension,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
743,eviction pricing,YMYL,Transactional,BOFU (Decision),Head
744,benefits of anxiety,YMYL,Informational,TOFU (Awareness),Mid-tail
745,compare asthma options,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
746,apply for mortgage,YMYL,Transactional,BOFU (Decision),Mid-tail
747,find heart attack near me,YMYL,Transactional,BOFU (Decision),Long-tail
748,find anxiety near me,YMYL,Transactional,BOFU (Decision),Long-tail
749,fema eviction resources,YMYL,Navigational,MOFU (Consideration),Mid-tail
750,how does index fund work,YMYL,Informational,TOFU (Awareness),Long-tail
751,download healthcare reform form,YMYL,Transactional,BOFU (Decision),Long-tail
752,can cpr steps be cured,YMYL,Informational,TOFU (Awareness),Long-tail
753,download breast cancer form,YMYL,Transactional,BOFU (Decision),Long-tail
754,cdc minimum wage increase guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
755,benefits of dui laws,YMYL,Informational,TOFU (Awareness),Long-tail
756,get patent filing quote,YMYL,Transactional,BOFU (Decision),Long-tail
757,uscis tax deduction application,YMYL,Navigational,MOFU (Consideration),Long-tail
758,personal injury claim vs divorce,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
759,cdc migraine guidelines,YMYL,Navigational,MOFU (Consideration),Mid-tail
760,how does eviction work,YMYL,Informational,TOFU (Awareness),Long-tail
761,nih gun control legislation study,YMYL,Navigational,MOFU (Consideration),Long-tail
762,can minimum wage increase be cured,YMYL,Informational,TOFU (Awareness),Long-tail
763,get migraine quote,YMYL,Transactional,BOFU (Decision),Mid-tail
764,nih eviction study,YMYL,Navigational,MOFU (Consideration),Mid-tail
765,how does covid 19 work,YMYL,Informational,TOFU (Awareness),Long-tail
766,schedule heart attack consultation,YMYL,Transactional,BOFU (Decision),Long-tail
767,uscis migraine application,YMYL,Navigational,MOFU (Consideration),Mid-tail
768,arthritis cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
769,schedule student loan consultation,YMYL,Transactional,BOFU (Decision),Long-tail
770,nih child car seat guidelines study,YMYL,Navigational,MOFU (Consideration),Long-tail
771,best arthritis providers,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
772,buy life insurance online,YMYL,Transactional,BOFU (Decision),Long-tail
773,ama fire evacuation plan recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
774,treatment options for trademark registration,YMYL,Informational,TOFU (Awareness),Long-tail
775,affordable arthritis solutions,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
776,schedule anxiety consultation,YMYL,Transactional,BOFU (Decision),Mid-tail
777,can vaccination mandate be cured,YMYL,Informational,TOFU (Awareness),Long-tail
778,affordable child custody solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
779,treatment options for breast cancer,YMYL,Informational,TOFU (Awareness),Long-tail
780,best anxiety providers,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
781,apply for identity theft protection,YMYL,Transactional,BOFU (Decision),Long-tail
782,social security tax deduction,YMYL,Navigational,MOFU (Consideration),Long-tail
783,irs bankruptcy,YMYL,Navigational,MOFU (Consideration),Head
784,best fire evacuation plan providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
785,schedule hurricane safety consultation,YMYL,Transactional,BOFU (Decision),Long-tail
786,treatment options for child car seat guidelines,YMYL,Informational,TOFU (Awareness),Long-tail
787,identity theft protection vs fire evacuation plan,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
788,who 401k factsheet,YMYL,Navigational,MOFU (Consideration),Mid-tail
789,is fire evacuation plan worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
790,irs identity theft protection,YMYL,Navigational,MOFU (Consideration),Long-tail
791,symptoms of hypertension,YMYL,Informational,TOFU (Awareness),Mid-tail
792,climate change policy vs net neutrality rules,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
793,schedule 401k consultation,YMYL,Transactional,BOFU (Decision),Mid-tail
794,cdc personal injury claim guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
795,benefits of trademark registration,YMYL,Informational,TOFU (Awareness),Long-tail
796,what is 401k,YMYL,Informational,TOFU (Awareness),Mid-tail
797,breast cancer reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
798,bitcoin investment reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
799,guide to estate planning,YMYL,Informational,TOFU (Awareness),Long-tail
800,get food poisoning treatment quote,YMYL,Transactional,BOFU (Decision),Long-tail
801,can trademark registration be cured,YMYL,Informational,TOFU (Awareness),Long-tail
802,roth ira vs student loan,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
803,nih diabetes study,YMYL,Navigational,MOFU (Consideration),Mid-tail
804,guide to hurricane safety,YMYL,Informational,TOFU (Awareness),Long-tail
805,tax deduction vs estate planning,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
806,identity theft protection reviews,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
807,cdc depression guidelines,YMYL,Navigational,MOFU (Consideration),Mid-tail
808,treatment options for first aid basics,YMYL,Informational,TOFU (Awareness),Long-tail
809,schedule breast cancer consultation,YMYL,Transactional,BOFU (Decision),Long-tail
810,cdc patent filing guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
811,find estate planning near me,YMYL,Transactional,BOFU (Decision),Long-tail
812,cdc child custody guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
813,get student loan forgiveness quote,YMYL,Transactional,BOFU (Decision),Long-tail
814,risks of breast cancer,YMYL,Informational,TOFU (Awareness),Long-tail
815,estate planning reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
816,find arthritis near me,YMYL,Transactional,BOFU (Decision),Long-tail
817,fema anxiety resources,YMYL,Navigational,MOFU (Consideration),Mid-tail
818,treatment options for minimum wage increase,YMYL,Informational,TOFU (Awareness),Long-tail
819,compare identity theft protection options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
820,buy index fund online,YMYL,Transactional,BOFU (Decision),Long-tail
821,treatment options for estate planning,YMYL,Informational,TOFU (Awareness),Long-tail
822,find hurricane safety near me,YMYL,Transactional,BOFU (Decision),Long-tail
823,what is heart attack,YMYL,Informational,TOFU (Awareness),Long-tail
824,top bitcoin investment services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
825,irs trademark registration,YMYL,Navigational,MOFU (Consideration),Mid-tail
826,top hurricane safety services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
827,find minimum wage increase near me,YMYL,Transactional,BOFU (Decision),Long-tail
828,benefits of asthma,YMYL,Informational,TOFU (Awareness),Mid-tail
829,find diabetes near me,YMYL,Transactional,BOFU (Decision),Long-tail
830,fema life insurance resources,YMYL,Navigational,MOFU (Consideration),Long-tail
831,symptoms of gun control legislation,YMYL,Informational,TOFU (Awareness),Long-tail
832,trademark registration vs immigration,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
833,uscis roth ira application,YMYL,Navigational,MOFU (Consideration),Long-tail
834,buy 401k online,YMYL,Transactional,BOFU (Decision),Mid-tail
835,nih index fund study,YMYL,Navigational,MOFU (Consideration),Long-tail
836,treatment options for personal injury claim,YMYL,Informational,TOFU (Awareness),Long-tail
837,download bankruptcy form,YMYL,Transactional,BOFU (Decision),Mid-tail
838,nih last will study,YMYL,Navigational,MOFU (Consideration),Long-tail
839,schedule net neutrality rules consultation,YMYL,Transactional,BOFU (Decision),Long-tail
840,fema climate change policy resources,YMYL,Navigational,MOFU (Consideration),Long-tail
841,benefits of migraine,YMYL,Informational,TOFU (Awareness),Mid-tail
842,life insurance vs index fund,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
843,ama patent filing recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
844,guide to covid 19,YMYL,Informational,TOFU (Awareness),Long-tail
845,asthma reviews,YMYL,Commercial Investigation,MOFU (Consideration),Head
846,apply for estate planning,YMYL,Transactional,BOFU (Decision),Long-tail
847,irs covid 19,YMYL,Navigational,MOFU (Consideration),Mid-tail
848,treatment options for patent filing,YMYL,Informational,TOFU (Awareness),Long-tail
849,download cpr steps form,YMYL,Transactional,BOFU (Decision),Long-tail
850,is asthma worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
851,download roth ira form,YMYL,Transactional,BOFU (Decision),Long-tail
852,cdc dui laws guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
853,top bankruptcy services,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
854,bitcoin investment vs mortgage,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
855,schedule life insurance consultation,YMYL,Transactional,BOFU (Decision),Long-tail
856,cdc breast cancer guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
857,treatment options for earthquake preparedness,YMYL,Informational,TOFU (Awareness),Long-tail
858,is credit score worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
859,benefits of earthquake preparedness,YMYL,Informational,TOFU (Awareness),Long-tail
860,vaccination mandate vs student loan forgiveness,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
861,cdc climate change policy guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
862,climate change policy vs data privacy law,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
863,student loan forgiveness pricing,YMYL,Transactional,BOFU (Decision),Long-tail
864,buy minimum wage increase online,YMYL,Transactional,BOFU (Decision),Long-tail
865,trademark registration pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
866,what is vaccination mandate,YMYL,Informational,TOFU (Awareness),Long-tail
867,fema trademark registration resources,YMYL,Navigational,MOFU (Consideration),Long-tail
868,what is food poisoning treatment,YMYL,Informational,TOFU (Awareness),Long-tail
869,electric vehicle incentives vs data privacy law,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
870,benefits of tax deduction,YMYL,Informational,TOFU (Awareness),Long-tail
871,affordable immigration solutions,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
872,get credit score quote,YMYL,Transactional,BOFU (Decision),Long-tail
873,is child car seat guidelines worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
874,child custody pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
875,top cybersecurity breach services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
876,first aid basics pricing,YMYL,Transactional,BOFU (Decision),Long-tail
877,who earthquake preparedness factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
878,what is student loan,YMYL,Informational,TOFU (Awareness),Long-tail
879,compare migraine options,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
880,who fire evacuation plan factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
881,uscis vaccination mandate application,YMYL,Navigational,MOFU (Consideration),Long-tail
882,risks of anxiety,YMYL,Informational,TOFU (Awareness),Mid-tail
883,heart attack vs depression,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
884,get trademark registration quote,YMYL,Transactional,BOFU (Decision),Long-tail
885,nih asthma study,YMYL,Navigational,MOFU (Consideration),Mid-tail
886,affordable trademark registration solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
887,risks of child car seat guidelines,YMYL,Informational,TOFU (Awareness),Long-tail
888,best mortgage providers,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
889,who roth ira factsheet,YMYL,Navigational,MOFU (Consideration),Long-tail
890,what is anxiety,YMYL,Informational,TOFU (Awareness),Mid-tail
891,best identity theft protection providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
892,irs heart attack,YMYL,Navigational,MOFU (Consideration),Mid-tail
893,guide to carbon monoxide leak response,YMYL,Informational,TOFU (Awareness),Long-tail
894,compare arthritis options,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
895,fema depression resources,YMYL,Navigational,MOFU (Consideration),Mid-tail
896,symptoms of arthritis,YMYL,Informational,TOFU (Awareness),Mid-tail
897,electric vehicle incentives reviews,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
898,risks of cybersecurity breach,YMYL,Informational,TOFU (Awareness),Long-tail
899,patent filing vs dui laws,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
900,get identity theft protection quote,YMYL,Transactional,BOFU (Decision),Long-tail
901,ama arthritis recommendations,YMYL,Navigational,MOFU (Consideration),Mid-tail
902,best roth ira providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
903,download diabetes form,YMYL,Transactional,BOFU (Decision),Mid-tail
904,apply for earthquake preparedness,YMYL,Transactional,BOFU (Decision),Long-tail
905,nih roth ira study,YMYL,Navigational,MOFU (Consideration),Long-tail
906,best diabetes providers,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
907,get hypertension quote,YMYL,Transactional,BOFU (Decision),Mid-tail
908,how does student loan forgiveness work,YMYL,Informational,TOFU (Awareness),Long-tail
909,order asthma now,YMYL,Transactional,BOFU (Decision),Mid-tail
910,fema identity theft protection resources,YMYL,Navigational,MOFU (Consideration),Long-tail
911,benefits of food poisoning treatment,YMYL,Informational,TOFU (Awareness),Long-tail
912,best child custody providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
913,symptoms of diabetes,YMYL,Informational,TOFU (Awareness),Mid-tail
914,divorce vs personal injury claim,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
915,apply for gun control legislation,YMYL,Transactional,BOFU (Decision),Long-tail
916,download hypertension form,YMYL,Transactional,BOFU (Decision),Mid-tail
917,irs hurricane safety,YMYL,Navigational,MOFU (Consideration),Mid-tail
918,best trademark registration providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
919,irs cybersecurity breach,YMYL,Navigational,MOFU (Consideration),Mid-tail
920,download immigration form,YMYL,Transactional,BOFU (Decision),Mid-tail
921,fema diabetes resources,YMYL,Navigational,MOFU (Consideration),Mid-tail
922,what is earthquake preparedness,YMYL,Informational,TOFU (Awareness),Long-tail
923,compare covid 19 options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
924,uscis child car seat guidelines application,YMYL,Navigational,MOFU (Consideration),Long-tail
925,can breast cancer be cured,YMYL,Informational,TOFU (Awareness),Long-tail
926,affordable patent filing solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
927,is gun control legislation worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
928,401k cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
929,schedule bitcoin investment consultation,YMYL,Transactional,BOFU (Decision),Long-tail
930,fema immigration resources,YMYL,Navigational,MOFU (Consideration),Mid-tail
931,carbon monoxide leak response reviews,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
932,benefits of healthcare reform,YMYL,Informational,TOFU (Awareness),Long-tail
933,symptoms of vaccination mandate,YMYL,Informational,TOFU (Awareness),Long-tail
934,risks of data privacy law,YMYL,Informational,TOFU (Awareness),Long-tail
935,compare life insurance options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
936,can anxiety be cured,YMYL,Informational,TOFU (Awareness),Long-tail
937,electric vehicle incentives cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
938,order student loan forgiveness now,YMYL,Transactional,BOFU (Decision),Long-tail
939,irs arthritis,YMYL,Navigational,MOFU (Consideration),Head
940,heart attack vs anxiety,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
941,credit score pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
942,what is tax deduction,YMYL,Informational,TOFU (Awareness),Long-tail
943,food poisoning treatment cost comparison,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
944,risks of tax reform bill,YMYL,Informational,TOFU (Awareness),Long-tail
945,child custody vs last will,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
946,get bankruptcy quote,YMYL,Transactional,BOFU (Decision),Mid-tail
947,who hypertension factsheet,YMYL,Navigational,MOFU (Consideration),Mid-tail
948,guide to minimum wage increase,YMYL,Informational,TOFU (Awareness),Long-tail
949,nih estate planning study,YMYL,Navigational,MOFU (Consideration),Long-tail
950,roth ira reviews,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
951,fema first aid basics resources,YMYL,Navigational,MOFU (Consideration),Long-tail
952,is student loan worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
953,schedule trademark registration consultation,YMYL,Transactional,BOFU (Decision),Long-tail
954,ama gun control legislation recommendations,YMYL,Navigational,MOFU (Consideration),Long-tail
955,bankruptcy vs last will,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
956,earthquake preparedness pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
957,what is hypertension,YMYL,Informational,TOFU (Awareness),Mid-tail
958,breast cancer vs migraine,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
959,what is child car seat guidelines,YMYL,Informational,TOFU (Awareness),Long-tail
960,nih vaccination mandate study,YMYL,Navigational,MOFU (Consideration),Long-tail
961,is food poisoning treatment worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
962,apply for trademark registration,YMYL,Transactional,BOFU (Decision),Long-tail
963,can earthquake preparedness be cured,YMYL,Informational,TOFU (Awareness),Long-tail
964,tax deduction vs index fund,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
965,uscis credit score application,YMYL,Navigational,MOFU (Consideration),Long-tail
966,best heart attack providers,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
967,mortgage reviews,YMYL,Commercial Investigation,MOFU (Consideration),Head
968,schedule index fund consultation,YMYL,Transactional,BOFU (Decision),Long-tail
969,social security student loan forgiveness,YMYL,Navigational,MOFU (Consideration),Long-tail
970,immigration pricing,YMYL,Transactional,BOFU (Decision),Head
971,compare 401k options,YMYL,Commercial Investigation,MOFU (Consideration),Mid-tail
972,schedule minimum wage increase consultation,YMYL,Transactional,BOFU (Decision),Long-tail
973,ama bankruptcy recommendations,YMYL,Navigational,MOFU (Consideration),Mid-tail
974,get personal injury claim quote,YMYL,Transactional,BOFU (Decision),Long-tail
975,social security anxiety,YMYL,Navigational,MOFU (Consideration),Mid-tail
976,symptoms of mortgage,YMYL,Informational,TOFU (Awareness),Mid-tail
977,is eviction worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
978,download carbon monoxide leak response form,YMYL,Transactional,BOFU (Decision),Long-tail
979,compare minimum wage increase options,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
980,what is arthritis,YMYL,Informational,TOFU (Awareness),Mid-tail
981,buy vaccination mandate online,YMYL,Transactional,BOFU (Decision),Long-tail
982,guide to student loan,YMYL,Informational,TOFU (Awareness),Long-tail
983,apply for bitcoin investment,YMYL,Transactional,BOFU (Decision),Long-tail
984,cdc child car seat guidelines guidelines,YMYL,Navigational,MOFU (Consideration),Long-tail
985,affordable healthcare reform solutions,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
986,is depression worth it,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
987,schedule roth ira consultation,YMYL,Transactional,BOFU (Decision),Long-tail
988,benefits of index fund,YMYL,Informational,TOFU (Awareness),Long-tail
989,earthquake preparedness vs fire evacuation plan,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
990,get estate planning quote,YMYL,Transactional,BOFU (Decision),Long-tail
991,what is healthcare reform,YMYL,Informational,TOFU (Awareness),Long-tail
992,buy net neutrality rules online,YMYL,Transactional,BOFU (Decision),Long-tail
993,hurricane safety vs carbon monoxide leak response,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
994,top electric vehicle incentives services,YMYL,Commercial Investigation,MOFU (Consideration),Long-tail
995,order mortgage now,YMYL,Transactional,BOFU (Decision),Mid-tail
996,guide to tax deduction,YMYL,Informational,TOFU (Awareness),Long-tail
997,buy bitcoin investment online,YMYL,Transactional,BOFU (Decision),Long-tail
998,fema divorce resources,YMYL,Navigational,MOFU (Consideration),Mid-tail
999,apply for covid 19,YMYL,Transactional,BOFU (Decision),Long-tail
1000,cpr steps pricing,YMYL,Transactional,BOFU (Decision),Mid-tail
